0133305X,12,0,7,3,2,0,0
0133305X,36,0,16,12,6,2,0
0131690S,6,0,5,1,0,0,0
0134061U,132,0,4,35,65,28,0
0131862D,12,0,6,4,2,0,0
0132300E,23,0,12,8,1,2,0
0132733A,20,0,10,9,1,0,0
0132828D,20,0,11,9,0,0,0
0132922F,20,0,7,8,5,0,0
0132922F,7,0,2,0,5,0,0
0133244F,16,0,8,5,1,2,0
0133522H,74,0,26,33,13,2,0
0140013N,92,0,0,3,45,41,3
0140013N,94,0,0,10,54,27,3
0140017T,22,0,13,8,1,0,0
0140017T,24,0,7,7,7,3,0
0140017T,24,0,9,7,7,1,0
0141234R,29,0,0,9,15,4,1
0141274J,22,0,3,8,9,2,0
0141275K,11,0,5,5,1,0,0
0141408E,120,0,69,31,15,5,0
0141408E,49,0,25,16,6,2,0
0141408E,12,0,4,3,2,3,0
0141408E,135,0,63,52,16,3,1
0141408E,24,0,12,11,1,0,0
0141687H,3,0,1,2,0,0,0
0142133T,15,0,3,5,6,1,0
0142133T,11,0,4,4,3,0,0
0142179T,29,0,14,10,5,0,0
0142179T,45,0,22,21,2,0,0
0142218K,22,0,2,13,7,0,0
0800009A,45,0,1,6,21,14,3
0150006A,10,0,5,3,2,0,0
0150037J,16,0,6,9,1,0,0
0150047V,22,0,11,9,2,0,0
0150688S,13,0,6,5,2,0,0
0150746E,33,0,5,16,12,0,0
0150746E,61,0,10,34,15,2,0
0160003S,19,0,9,6,4,0,0
0160006V,3,0,3,0,0,0,0
0160006V,7,0,4,2,1,0,0
0211033J,34,0,7,15,11,1,0
0160010Z,6,0,3,3,0,0,0
0160020K,17,0,6,7,4,0,0
0160079Z,12,0,6,4,2,0,0
0160083D,5,0,4,1,0,0,0
0160862A,10,0,3,5,1,1,0
0161095D,7,0,0,2,4,1,0
0161125L,42,0,18,19,5,0,0
0170027M,22,0,10,7,5,0,0
0170029P,10,0,2,6,2,0,0
0170058W,15,0,8,7,0,0,0
0170060Y,9,0,4,2,2,1,0
0170087C,13,0,8,5,0,0,0
0170145R,27,0,3,13,8,3,0
0170145R,168,0,9,64,84,11,0
0171428K,19,0,9,6,4,0,0
0171463Y,49,0,23,11,13,1,0
0180005H,23,0,1,8,10,3,1
0180006J,17,0,8,5,4,0,0
0180036S,14,0,9,2,3,0,0
0180561M,7,0,0,5,2,0,0
0180584M,39,0,14,18,7,0,0
0180584M,89,0,34,43,11,1,0
0190083M,6,0,2,4,0,0,0
0190083M,8,0,4,2,2,0,0
0190244M,9,0,2,5,2,0,0
0190609J,41,0,12,19,7,3,0
0210003P,18,0,8,6,2,2,0
0210017E,21,0,10,9,2,0,0
0210018F,13,0,8,5,0,0,0
0210019G,23,0,8,12,2,1,0
0210019G,17,0,7,5,5,0,0
0210019G,19,0,9,3,5,2,0
0211089V,20,0,10,6,3,1,0
0211090W,17,0,10,7,0,0,0
0211090W,43,0,19,14,7,3,0
0211090W,5,0,2,2,1,0,0
0211091X,14,0,4,8,1,1,0
0211135V,19,0,5,12,1,1,0
0211135V,21,0,16,3,2,0,0
0211139Z,86,0,28,33,21,4,0
0211139Z,45,0,0,10,22,12,1
0211139Z,55,0,17,16,17,5,0
0211139Z,80,0,10,33,34,2,1
0211237F,18,0,8,10,0,0,0
0211237F,28,0,12,13,2,0,1
0211237F,46,0,24,10,9,3,0
0211237F,137,0,59,43,29,4,2
0211237F,260,0,126,89,40,5,0
0211237F,132,0,77,42,11,2,0
0211237F,72,0,37,23,9,3,0
0213333J,10,0,1,7,2,0,0
0220013V,21,0,10,9,2,0,0
0220013V,14,0,10,3,1,0,0
0280044W,19,0,6,6,6,1,0
0220027K,3,0,1,1,1,0,0
0220057T,34,0,1,3,19,11,0
0220058U,7,0,3,2,2,0,0
0220097L,4,0,3,0,1,0,0
